,name,filename,cyclomatic_complexity,nloc,top_nesting_level,start_line
0,ParallelPerf::apply,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,1,4,1,52
1,ParallelPerf::setup,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,1,27,1,58
2,ParallelPerf::subscribe,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,1,5,1,92
3,ParallelPerf::flatMap,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,1,3,1,99
4,ParallelPerf::groupBy,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,1,3,1,104
5,ParallelPerf::parallel,src/jmh/java/io/reactivex/rxjava3/parallel/ParallelPerf.java,1,3,1,109
6,ObservableSwitchMapSinglePerf::setup,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableSwitchMapSinglePerf.java,7,23,1,42
7,ObservableSwitchMapSinglePerf::observablePlain,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableSwitchMapSinglePerf.java,1,3,1,71
8,ObservableSwitchMapSinglePerf::observableConvert,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableSwitchMapSinglePerf.java,1,3,1,76
9,ObservableSwitchMapSinglePerf::observableDedicated,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableSwitchMapSinglePerf.java,1,3,1,81
10,FlowableFlatMapMaybePerf::setup,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybePerf.java,7,23,1,43
11,FlowableFlatMapMaybePerf::flowablePlain,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybePerf.java,1,3,1,72
12,FlowableFlatMapMaybePerf::flowableConvert,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybePerf.java,1,3,1,77
13,FlowableFlatMapMaybePerf::flowableDedicated,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybePerf.java,1,3,1,82
14,ObservableFlatMapMaybeEmptyPerf::setup,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapMaybeEmptyPerf.java,7,23,1,42
15,ObservableFlatMapMaybeEmptyPerf::observablePlain,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapMaybeEmptyPerf.java,1,3,1,71
16,ObservableFlatMapMaybeEmptyPerf::observableConvert,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapMaybeEmptyPerf.java,1,3,1,76
17,ObservableFlatMapMaybeEmptyPerf::observableDedicated,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapMaybeEmptyPerf.java,1,3,1,81
18,ObservableFlatMapCompletablePerf::setup,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapCompletablePerf.java,5,23,1,42
19,ObservableFlatMapCompletablePerf::observablePlain,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapCompletablePerf.java,1,3,1,71
20,ObservableFlatMapCompletablePerf::observableConvert,src/jmh/java/io/reactivex/rxjava3/xmapz/ObservableFlatMapCompletablePerf.java,1,3,1,76
