,name,filename,cyclomatic_complexity,nloc,top_nesting_level,start_line
0,kbs,dangerfile.js,1,3,0,59
1,change,dangerfile.js,4,12,0,70
2,row,dangerfile.js,1,3,0,87
3,(anonymous),dangerfile.js,1,1,0,176
4,resultsMap.set,dangerfile.js,15,91,0,143
5,:,packages/use-subscription/src/useSubscription.js,1,2,0,26
6,(anonymous),packages/use-subscription/src/useSubscription.js,1,2,0,27
7,getCurrentValue,packages/use-subscription/src/useSubscription.js,1,2,0,36
8,(anonymous),packages/use-subscription/src/useSubscription.js,4,12,0,88
9,checkForUpdates,packages/use-subscription/src/useSubscription.js,2,7,0,73
10,(anonymous),packages/use-subscription/src/useSubscription.js,1,4,0,117
11,(anonymous),packages/use-subscription/src/useSubscription.js,1,7,0,70
12,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,23
13,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,11,0,21
14,createBehaviorSubject,packages/use-subscription/src/__tests__/useSubscription-test.js,2,7,0,36
15,createReplaySubject,packages/use-subscription/src/__tests__/useSubscription-test.js,2,7,0,44
16,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,53
17,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,65
18,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,63
19,source.getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,62
20,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,62
21,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,76
22,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,85
23,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,87
24,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,91
25,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,92
26,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,13,0,62
27,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,97
28,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,109
29,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,7,0,106
30,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,117
31,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,115
32,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,106
33,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,105
34,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,128
35,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,135
36,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,142
37,Subscription,packages/use-subscription/src/__tests__/useSubscription-test.js,1,15,0,102
38,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,147
39,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,162
40,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,159
41,source.getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,158
42,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,158
43,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,177
44,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,190
45,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,197
46,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,201
47,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,19,0,158
48,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,208
49,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,222
50,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,219
51,source.getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,217
52,React.useCallback,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,217
53,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,236
54,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,249
55,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,255
56,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,259
57,React.useCallback,packages/use-subscription/src/__tests__/useSubscription-test.js,1,19,0,217
58,Grandchild,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,268
59,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,273
60,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,285
61,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,283
62,source.getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,282
63,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,282
64,getDerivedStateFromProps,packages/use-subscription/src/__tests__/useSubscription-test.js,2,8,0,297
65,componentDidMount,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,307
66,componentDidUpdate,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,311
67,render,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,315
68,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,324
69,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,8,0,333
70,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,345
71,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,29,0,282
72,Grandchild,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,368
73,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,373
74,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,385
75,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,383
76,source.getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,382
77,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,382
78,getDerivedStateFromProps,packages/use-subscription/src/__tests__/useSubscription-test.js,2,8,0,397
79,componentDidMount,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,407
80,componentDidUpdate,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,411
81,render,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,415
82,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,424
83,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,17,0,434
84,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,462
85,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,21,0,382
86,Child,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,468
87,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,478
88,source.getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,477
89,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,477
90,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,494
91,change,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,491
92,getValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,3,0,496
93,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,501
94,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,499
95,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,2,6,0,510
96,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,518
97,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,14,0,477
98,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,2,0,532
99,=>,packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,533
100,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,2,0,537
101,=>,packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,538
102,Subscription,packages/use-subscription/src/__tests__/useSubscription-test.js,2,9,0,541
103,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,6,0,552
104,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,560
105,=>,packages/use-subscription/src/__tests__/useSubscription-test.js,1,9,0,538
106,mutate,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,567
107,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,2,0,573
108,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,1,0,576
109,subscribe,packages/use-subscription/src/__tests__/useSubscription-test.js,1,4,0,574
110,Subscriber,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,580
111,(anonymous),packages/use-subscription/src/__tests__/useSubscription-test.js,1,23,0,586
112,getCurrentValue,packages/use-subscription/src/__tests__/useSubscription-test.js,1,5,0,573
113,message,packages/jest-react/src/JestReact.js,1,2,0,22
114,message,packages/jest-react/src/JestReact.js,1,4,0,22
115,assertYieldsWereCleared,packages/jest-react/src/JestReact.js,1,9,0,28
116,(anonymous),packages/jest-react/src/JestReact.js,1,3,0,72
117,unstable_toMatchRenderedOutput,packages/jest-react/src/JestReact.js,9,34,0,38
118,jsonChildToJSXChild,packages/jest-react/src/JestReact.js,5,19,0,77
119,jsonChildrenToJSXChildren,packages/jest-react/src/JestReact.js,9,24,0,97
120,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,74
121,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,80
122,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,81
123,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,82
124,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,84
125,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,85
126,(anonymous),packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,164
127,refresh,packages/react-debug-tools/src/ReactDebugHooks.js,1,1,0,183
